"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,0.885339671128743,0.942,0.833,0,"1","TUBA1B"
0,0.133243983283519,0.699,0.594,0,"1","LRRC55"
0,0.321819227831926,0.985,0.895,0,"1","TGFBI"
0,0.294304214150734,0.358,0.269,0,"1","AP001189.1"
0,0.557710461567302,0.965,0.897,0,"1","ENO1"
0,0.398024809687588,0.566,0.501,0,"1","MYZAP"
0,0.71508842837631,0.991,0.934,0,"1","CTSB"
0,0.655938816683289,0.955,0.902,0,"1","CALR"
0,0.509061344367622,0.961,0.911,0,"1","ACTG1"
0,0.34965590309785,0.95,0.906,0,"1","RPL8"
0,0.523662512002666,0.995,0.953,0,"1","APOC1"
0,0.478613505686039,0.989,0.95,0,"1","SH3BGRL3"
0,0.605908023200442,0.992,0.955,0,"1","GAPDH"
0,0.509412132397457,0.996,0.973,0,"1","TMSB10"
0,0.534895822489021,0.999,0.985,0,"1","APOE"
0,0.929433012100895,1,0.999,0,"1","SPP1"
0,0.701165338485518,1,1,0,"1","FTL"
4.7136730338857e-306,0.395033861343077,0.721,0.53,9.42734606777139e-303,"1","LYVE1"
1.25906259070061e-298,0.219452493894196,0.697,0.545,2.51812518140122e-295,"1","CCL22"
3.44723322419228e-295,0.217413560342187,0.528,0.378,6.89446644838455e-292,"1","SHCBP1"
2.75649038824697e-293,0.815869500541964,0.659,0.513,5.51298077649395e-290,"1","FOLR2"
1.40327503939381e-285,0.640292032584434,0.424,0.3,2.80655007878761e-282,"1","ACY3"
1.25831876215942e-284,1.14555315784103,0.373,0.295,2.51663752431884e-281,"1","MMP12"
1.41033843731556e-274,0.592844146808099,0.943,0.822,2.82067687463113e-271,"1","DBI"
3.53180125796626e-274,0.53028621567606,0.892,0.734,7.06360251593252e-271,"1","TUBB"
5.20357240065328e-272,0.651378982704188,0.844,0.732,1.04071448013066e-268,"1","SELENOW"
1.31422005767563e-270,0.16627824248898,0.534,0.33,2.62844011535126e-267,"1","TUBB4A"
3.84600726969769e-263,0.344283325695621,0.285,0.227,7.69201453939538e-260,"1","CCDC26"
4.0929897756883e-258,0.348949510781034,0.497,0.375,8.1859795513766e-255,"1","FAM181B"
2.43951661976487e-256,0.949025612416362,0.729,0.649,4.87903323952974e-253,"1","RNASE2"
2.45001316797486e-255,1.02284452402515,0.555,0.417,4.90002633594973e-252,"1","S100B"
1.61172518366117e-251,1.08573123166379,0.452,0.377,3.22345036732233e-248,"1","TSPAN7"
8.10541536155669e-246,0.496473749637619,0.985,0.934,1.62108307231134e-242,"1","CSTB"
1.28351734496029e-243,0.339738728677091,0.986,0.939,2.56703468992057e-240,"1","ANXA2"
1.69016806283103e-243,0.559407191949674,0.336,0.247,3.38033612566207e-240,"1","SFTPC"
3.16851388700242e-243,0.363566254864996,0.53,0.401,6.33702777400484e-240,"1","PLAC8"
